¿¬µµ(y),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1978,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1979,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1980,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1981,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1982,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1983,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1984,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1985,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1986,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1987,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1988,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1989,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1990,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1991,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1992,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1993,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1994,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1995,199501,60434,199502,41612,199503,61016,199504,51508,199505,60830,199506,61242,199507,72300,199508,80851,199509,81148,199510,90327,199511,80635,199512,72322
1996,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1997,199501,60434,199502,41612,199503,61016,199504,51508,199505,60830,199506,61242,199507,72300,199508,80851,199509,81148,199510,90327,199511,80635,199512,72322
1998,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1999,199501,60434,199502,41612,199503,61016,199504,51508,199505,60830,199506,61242,199507,72300,199508,80851,199509,81148,199510,90327,199511,80635,199512,72322
2000,200001,61000,200002,42140,200003,51542,200004,42031,200005,51350,200006,51758,200007,70413,200008,71402,200009,71659,200010,80838,200011,71148,200012,70437
2001,200101,51549,200102,40328,200103,52132,200104,50224,200105,51944,200106,52353,200107,71006,200108,71952,200109,72246,200110,81425,200111,71736,200112,71028
2002,200201,52143,200202,40924,200203,60327,200204,50818,200205,60137,200206,60544,200207,71556,200208,80139,200209,80431,200210,82009,200211,72321,200212,71614
2003,200301,60327,200302,41505,200303,60904,200304,51352,200305,60710,200306,61119,200307,72135,200308,80724,200309,81020,200310,90200,200311,80513,200312,72205
2004,200401,60918,200402,42056,200403,51455,200404,41943,200405,51302,200406,51713,200407,70331,200408,71319,200409,71612,200410,80749,200411,71058,200412,70348
2005,200501,51502,200502,40243,200503,52045,200504,50134,200505,51852,200506,52301,200507,70916,200508,71903,200509,72156,200510,81333,200511,71642,200512,70932
2006,200601,52046,200602,40827,200603,60228,200604,50715,200605,60030,200606,60436,200607,71451,200608,80040,200609,80339,200610,81921,200611,72234,200612,71526
2007,200701,60240,200702,41418,200703,60817,200704,51304,200705,60620,200706,61027,200707,72041,200708,80631,200709,80929,200710,90111,200711,80424,200712,72114
